id	filename	md5	size	state
20c10ff9-8505-451d-adb0-aacfe649ad79	TCGA-AZ-6606-01Z-00-DX1.aa79b3d8-8ff1-4171-96dc-94bc7d073d93.svs	0d79ea4b874240252d05dfa5eeee771a	879253119	released
bd7699c4-4b91-4e1f-9114-f449cf7b2889	TCGA-G4-6315-01Z-00-DX1.2c3c17b0-c118-42b1-b1c9-7cc984e47f6c.svs	482b83a79b232a70fe0a34e101ea063e	856957481	released
2680fe2f-eef9-404e-a6a3-cdec178460a8	TCGA-5M-AAT4-01Z-00-DX1.725C46CA-9354-43AC-AA81-3E5A66354D6B.svs	54c5c2873378ff9ca9080f5aebfef590	2385119307	released
8dc9441e-aa26-4718-bee4-77b28f1a401a	TCGA-AD-5900-01Z-00-DX1.ff1dbf00-d9c5-45a2-9732-07b46f4e1471.svs	d124f266cf49558c8a2fe639d4bb2fe5	89411607	released
22c257cf-df9e-441a-a21c-d78b2b528087	TCGA-AA-A01P-01Z-00-DX1.D7AAA4F0-C956-4346-8948-DADACDFB3B69.svs	a2b15eaeb61e396a7c7fe995787d940a	1690505016	released
ec5b592f-8203-451a-8491-5998c12a5355	TCGA-DM-A288-01Z-00-DX1.716efd68-52d4-4049-b9a6-480700579e74.svs	53d0e63c560c572079018fe616f194c1	1796899455	released
4be5d625-9594-4bee-b6b2-2827ce65b473	TCGA-AY-5543-01Z-00-DX1.f3614d19-8391-49cc-a0e4-932e717696d3.svs	de780a5c577e404e05b312d772aed862	583606263	released
c4d2c58a-4de5-452b-907b-40a61972aa59	TCGA-AA-3851-01Z-00-DX1.cefbb22e-6b16-41b2-b732-452bf2efe425.svs	1ac240e36c5d1f2f06bddbf0db8288b8	301924912	released
675fc406-3949-4456-bf24-1bcacd22b24f	TCGA-DM-A1D0-01Z-00-DX1.1EE92F9A-3DAA-4C1E-9A17-F9E0D31BE0C1.svs	cbc25bd0d61bb7861fe3e42e15035e58	1447014483	released
b3f39a90-2d3b-4e5a-af64-a935157fd796	TCGA-AM-5820-01Z-00-DX1.365538bf-65ff-4fcd-8862-90627484431c.svs	6e795238dfb46a826c34109575409430	340881103	released
e4fadd85-32b8-4ac0-a5d5-8f09c5c60f1f	TCGA-D5-6898-01Z-00-DX1.d2c5ab3b-da4d-4fa4-b535-4339d59515e7.svs	93833dd36a0a600c38cf7f5733c1649e	229509973	released
9fc46b76-6d18-4268-9254-7476ae14f0d2	TCGA-A6-5667-01Z-00-DX1.1973b80d-b6b8-4ed8-9bc1-3aef51fbd9e6.svs	2a5ed1c50491b237828b6d97c1655def	85349859	released
48e8fd12-2a4a-4d83-905c-bd6f602af0be	TCGA-F4-6461-01Z-00-DX1.f7da24ac-4a3c-4814-8d11-3138a954e0df.svs	026dff2ff5346cbbbc64f6dd961e1073	823013559	released
cd316e1d-8468-4aff-aa55-685dab5f9b19	TCGA-CK-5916-01Z-00-DX1.726a78b1-e64f-4dd6-8f7e-e43e98f1f453.svs	7787d8fbc1a50d0e6c0af9ce94c41d86	1180333133	released
5858e780-9a2b-4020-bc48-924d974d9344	TCGA-CA-5797-01Z-00-DX1.6549a80e-4b68-4147-949b-6149ab680313.svs	1e9449990d78917a3a586407691f37d6	367291891	released
ae37fe26-235b-465b-89c2-dd3b30473da2	TCGA-CM-6172-01Z-00-DX1.a5d23c88-a173-46a2-b8dd-6d873b8216c7.svs	af4f243456646f4a9c0c2b79a1ccf3ed	565840317	released
8472de58-9075-4534-b00b-3a87ba2158da	TCGA-AD-6963-01Z-00-DX1.7df2e133-5f24-4c0a-b7f5-5a65fe3420c9.svs	d7b7a08c5e7b931aa7b04222c90b1b2c	60853347	released
eedce645-a8d2-4fa7-9a68-db5e96fa4920	TCGA-NH-A50T-01Z-00-DX1.4624B690-C0DE-42BD-852C-6EBABF40255F.svs	6f9b069a96a3a72b0a3d276139afc84a	1631868451	released
d8f3f990-3177-484e-91c5-7ecf33c82c79	TCGA-F4-6808-01Z-00-DX1.c5c94635-21de-4edb-a903-4a2c914a5795.svs	0fed4728f500381b58857a7e322440f3	715966745	released
8e8a9f9c-b5f9-4104-a005-35656843fd27	TCGA-NH-A6GA-01Z-00-DX1.33AFBF24-84BD-4E21-8A2D-A565AD3E4376.svs	55b7ed7aa8505cbe6b8c0b124ffe05b0	1207460853	released
88a6a5e3-0bd3-4d18-82de-2c4186e7175a	TCGA-AA-3875-01Z-00-DX1.016712a0-4226-4086-857c-3d6d85f186e3.svs	a420228c76239436983eca637ff9287d	232153032	released
e45b588f-c7db-4cea-a78c-bfecd1a46da6	TCGA-A6-2671-01Z-00-DX1.13d1a0d9-78cd-4cfc-b670-34a79ebe52ee.svs	982ef534e965db5653e74ff4c3abf052	162512031	released
db59d95f-12ab-4633-84b9-5a535bba48aa	TCGA-DM-A1HA-01Z-00-DX1.E56FC26A-DDB9-4121-9E79-5009FB23CCEB.svs	083ca57bcc95b532139bf6b00f46a339	1319195465	released
